accession,gene_name,index
XP_011247138.1,Sgca,356
XP_006513120.1; XP_006513108.1,Mybpc1,357
XP_006503732.1,Add1,358
NP_031859.1,Dcn,359
XP_006521998.1,Eif4g1,360
NP_032564.1,Marcks,361
NP_001276655.1,Gapdh,362
NP_032717.2,Nefm,363
XP_006539540.1,NA,364
NP_808367.2,Fhod1,365
NP_001028346.1,Osbp,366
NP_001304146.1,Myl6,367
NP_035670.2,Tcap,368
XP_017172628.1,NA,369
NP_034603.2,Hrc,370
XP_011236945.1,Speg,371
NP_081703.1,Taf15,372
NP_001074719.1,Myh13,373
XP_017169807.1; XP_006532475.1; NP_034985.2; NP_001034634.2; NP_001074719.1; XP_017171330.1; NP_796343.2,Myh1,374
NP_035783.1; NP_033473.1,Tuba1a,375
XP_006528614.1,Sytl4,376
NP_665686.2,Afg1l,377
NP_835279.2,Prkaa2,378
NP_035560.1,Sncg,379
XP_017173099.1,NA,380
NP_109603.2,Gys1,381
NP_796330.2,Lamp3,382
XP_017169807.1; XP_006532475.1; NP_034985.2; NP_001034634.2; NP_001074719.1; NP_796343.2,Myh1,383
NP_038703.3,Sptb,384
NP_075768.1; NP_666228.1,Tubb3,385
NP_062783.2,Pdlim5,386
XP_006529146.1,NA,387
NP_001334459.1,Rac1,388
XP_006523923.1,Ppm1b,389
NP_001317615.1,Pvalb,390
XP_006522699.1,Dnm1l,391
XP_006501136.1,Lmna,392
XP_006504616.1,Gnb2,393
XP_017175125.1,Tmod4,394
NP_034985.2,Myh4,395
NP_031768.2,Col1a1,396
NP_056640.1,Sh3bgr,397
XP_006508602.1,NA,398
NP_663759.3,H1f3,399
NP_033967.1,Cct4,400
XP_006527821.1,Bgn,401
XP_006508790.1,Myom2,402
NP_001012401.1,Hspb6,403
NP_034997.2,Myom1,404
NP_001159496.1,Arfgap2,405
XP_006526057.1,Bin1,406
NP_032858.2,Phka1,407
NP_067330.1,Fmod,408
NP_038535.2,Eif4g2,409
XP_006530249.1,NA,410
NP_031900.3,Reep5,411
NP_032857.1,Phb,412
XP_017177608.1,NA,413
NP_057885.1,Rab10,414
XP_006509528.1,NA,415
NP_038896.2,Hspb7,416
XP_017177609.1,NA,417
NP_082408.3,Pgm1,418
NP_061359.2,Ywhag,419
NP_001177715.1,Ddx19b,420
