accession,gene_name,index
NP_062371.2,Olfm1,281
NP_001258359.1,Cd82,282
NP_001078824.1,Arid1b,283
NP_034708.1,Itgb1,284
XP_006527556.1,Sfxn3,285
NP_076288.1,Oga,286
XP_006504698.1,Actl6b,287
NP_080386.3,Paxbp1,288
NP_062671.1,Kcnd2,289
XP_011241034.1,Mindy2,290
NP_001292733.1,Pank4,291
NP_034438.1,Gnao1,292
NP_084358.1,H2bc27,293
XP_011239577.1,Prrt3,294
NP_998779.2,Septin5,295
XP_006540709.1,Kcnc1,296
XP_011243785.1,NA,297
NP_659194.1,Lgi2,298
XP_006531479.1,Cyld,299
XP_006512769.1,Utrn,300
XP_006518569.1,NA,301
NP_062661.1,Slc22a4,302
NP_033523.1,Vamp2,303
NP_001278384.1; XP_006518571.1,Dpysl3,304
NP_032903.3,Plg,305
NP_032953.1,Map2k1,306
XP_006531087.1,Sipa1l2,307
NP_803126.1; NP_001333564.1; XP_006514527.1; XP_017169728.1,Camk2a,308
XP_017176959.1,NA,309
XP_006540709.1; XP_017177481.1,Kcnc1,310
NP_032756.1,Nptx1,311
XP_006540166.1,Zc3h4,312
XP_006515533.1,Evl,313
NP_059497.1,Gucy1b1,314
NP_001075448.1,Mecp2,315
NP_080828.1,Arpc4,316
NP_001074771.1,Trio,317
NP_033915.1,Cacna2d3,318
NP_035040.1; NP_666212.3; NP_032717.2; NP_035831.2; NP_035034.2,Nefl,319
NP_083795.2,Rap2a,320
XP_006513691.1,Ccdc38,321
NP_032543.2,Lta4h,322
NP_001074696.1,Stum,323
NP_803126.1,Camk2a,324
XP_006512569.1,Epb41l2,325
NP_032017.2,Fbl,326
XP_017171930.1,Kif21a,327
NP_032428.2,Itgav,328
NP_035040.1; NP_666212.3; NP_032717.2,Nefl,329
NP_687036.1,Homer1,330
NP_862898.1,Grm3,331
NP_666237.1,Itpka,332
XP_006532964.1,NA,333
NP_033098.2,Rock2,334
NP_031528.1,Atp1b3,335
NP_035825.1,Vdac2,336
NP_031670.1,Scarb2,337
XP_006515574.1; XP_006497202.1; NP_758483.1; XP_006526704.1,Mark3,338
NP_001136422.1,NA,339
NP_033012.1,Cavin1,340
XP_006535444.1,Cp,341
XP_006499571.1,Pak5,342
NP_080119.1,Ndufb7,343
XP_006540608.1,Slc6a5,344
XP_006505342.1,NA,345
NP_001334459.1; NP_033991.1; NP_062512.1; NP_001230698.1,Rac1,346
NP_001034454.1,Mobp,347
NP_001020531.2,Klc1,348
XP_006513227.1,NA,349
XP_006510196.1,Cep164,350
NP_848743.1,Atl1,351
NP_033222.1,Slc16a1,352
NP_001073282.1,Glyr1,353
NP_536698.2,Gjc3,354
NP_031865.2,Dhx15,355
XP_006500006.2,NA,356
XP_006510677.1,NA,357
XP_006537594.1,Slc44a1,358
NP_035831.2,Vim,359
XP_006520694.1; NP_035831.2,Prph,360
NP_663397.1,Rtcb,361
XP_011246731.1,Cibar2,362
XP_006506046.1; XP_006506174.1; XP_006528905.1,Iqsec1,363
XP_006527177.1,NA,364
NP_001292187.1,Api5,365
XP_006533490.1,NA,366
XP_006522696.1,Dnm1l,367
XP_017171537.1,NA,368
NP_034396.1,Gda,369
XP_006515882.1,Wars1,370
NP_062615.1,Stmn1,371
NP_062741.1,Arpc1a,372
NP_064659.2; XP_011248046.1,Cacna2d2,373
XP_006521627.1,NA,374
XP_011248046.1,Cacna2d1,375
NP_033435.2,Top2b,376
XP_006532207.1,Dlg4,377
NP_067493.1,Rab2a,378
XP_011238237.1,NA,379
XP_006507830.1,Dlg2,380
XP_011249214.1,Ppfia3,381
XP_006532286.1,Gh,382
XP_006518087.1; XP_006505170.1; XP_006518088.1,Cadps,383
NP_032181.2,Gpi1,384
NP_032852.2; XP_006520664.1,Pfkl,385
NP_031633.1,Car4,386
NP_038708.3,Syn1,387
NP_035040.1,Nefl,388
NP_033408.1,Thy1,389
XP_006532198.1,NA,390
XP_006510158.1,Prkcsh,391
XP_011238161.1,Osbpl6,392
XP_006532265.1,Gas7,393
XP_006510991.1; XP_017168363.1,Unc13c,394
NP_001157012.1; NP_001186065.1,Plec,395
NP_032717.2,Nefm,396
NP_031493.2,Aplp1,397
NP_031476.3,Slc25a4,398
NP_848492.1,Atp1a2,399
NP_075617.3,Palm,400
NP_848736.2,Phyhipl,401
NP_598541.3,Tpr,402
XP_006510125.1,Ncam1,403
XP_006505767.1,Zfp638,404
XP_006521947.1,Stxbp5l,405
NP_001129530.1,Crmp1,406
NP_848818.1,Slc6a1,407
XP_011247832.1,NA,408
XP_011237702.1,NA,409
NP_081671.1,Basp1,410
XP_006529218.1,Kif1a,411
XP_017168360.1,Ano8,412
XP_006529697.2,Nfasc,413
NP_001108135.1,Plcl1,414
XP_011239463.1,Atp2b2,415
NP_062701.2,Snx1,416
NP_031502.1; NP_031506.1,Arf1,417
NP_598691.1,Creld1,418
NP_803126.1; XP_006518557.1; NP_001333564.1; XP_006514527.1; XP_017169728.1,Camk2a,419
NP_666238.1,Sord,420
XP_017170173.1,NA,421
NP_035868.1; NP_035869.1; NP_061359.2; XP_006499972.1; XP_011243654.1; NP_033562.3,Ywhah,422
XP_006503104.1,NA,423
NP_001070830.1,Fhl1,424
NP_001020097.2,Cyb5d2,425
NP_619592.1,Cds2,426
XP_006501041.1,NA,427
XP_011248230.1,Lpar1,428
XP_006499972.1,Ywhab,429
XP_006509052.1; XP_011241592.1,Ank1,430
NP_001120827.1,Eif2b4,431
XP_006511147.2,Dmxl2,432
NP_032606.4,Map3k5,433
NP_056602.1,H1f4,434
NP_766581.2,Zfp512,435
XP_006526058.1,Bin1,436
NP_033476.1; NP_076205.1,Tubb2a,437
NP_035300.1,Prnp,438
XP_006518634.1,Hnrnpc,439
XP_006524083.1,NA,440
NP_001028769.1,Acsl6,441
NP_032385.1,Il17ra,442
XP_006535283.1,Wdfy3,443
XP_006504154.1,Cad,444
XP_006526253.2,NA,445
NP_573479.3,Xpnpep1,446
NP_001303661.1,Prxl2a,447
NP_038751.2,Podxl,448
XP_011242628.1,NA,449
XP_006535199.1,Slc4a4,450
NP_031484.1,Ap2a1,451
NP_619600.2,Prpf8,452
XP_006540499.1,NA,453
NP_035995.1,Pcbp1,454
NP_898967.2,Inpp5a,455
NP_848723.1,Reep1,456
NP_570930.1,Cdk9,457
NP_001334108.1,Eif4a2,458
XP_006520154.1,Lmbrd2,459
NP_033220.2,Slc12a2,460
NP_109617.1,Sacm1l,461
NP_602320.2,Gpr37l1,462
XP_006504034.1,Ppp2r2c,463
NP_035354.1,Pygm,464
NP_766311.2,Adap1,465
NP_058066.2,Ube2k,466
NP_690023.1,Cdc5l,467
XP_006507657.1,Picalm,468
XP_011241171.1,Dock3,469
NP_034120.2,Clip2,470
NP_001074662.2,Lemd3,471
XP_011242362.1,Sipa1l1,472
NP_035016.1,Ndufa4,473
XP_017168016.1,Asah1,474
NP_149065.2; NP_758514.2,Tars,475
XP_006517706.1,Pde4d,476
NP_291061.1,Pcdhgc5,477
NP_058662.2,Phgdh,478
XP_006529697.2; XP_011246317.1,Nfasc,479
NP_780398.2,Hepacam,480
NP_766283.2,Plaa,481
NP_058019.2,Caprin1,482
NP_951062.1; XP_006532198.1,Ddx17,483
XP_006529597.1,Plekha6,484
NP_032345.2,Icam5,485
XP_006509770.1,NA,486
XP_006528768.1,Hccs,487
NP_076224.1,Actr3,488
XP_017169461.1; XP_011240298.1,Ppfia2,489
XP_011238839.1,Dlgap3,490
NP_056602.1; NP_056601.1,H1f4,491
XP_006519289.1,Sacs,492
NP_001258528.1,Sort1,493
NP_033475.1; NP_059075.1; NP_001029051.2,Tuba3b,494
NP_058668.1,Slc7a8,495
XP_006507497.1,NA,496
NP_112442.2,Hspa8,497
XP_017170058.1,NA,498
XP_006521512.1,Faim2,499
NP_080528.2,Cpeb4,500
NP_062780.2,Vapb,501
XP_006512447.1; XP_006529983.1,Clasp2,502
NP_001277380.1,NA,503
NP_032907.1; NP_786926.2,Plxna1,504
NP_032223.2,H1f0,505
NP_035785.1,Tubb5,506
XP_017177455.1,NA,507
NP_035232.1,Prkcg,508
NP_035380.3,Rbl2,509
XP_006515597.1; XP_011244620.1,Nrxn1,510
NP_035040.1; NP_666212.3; NP_032717.2; NP_035034.2,Nefl,511
XP_011240164.1,Septin1,512
XP_017177213.1,NA,513
XP_006503591.1,Adam22,514
NP_001074610.1,Gabbr2,515
NP_001073598.1,Tmpo,516
NP_034459.2,Pdpn,517
NP_032014.3,Fasn,518
NP_079770.2,Atp6v1c1,519
XP_006535255.1,Sec31a,520
XP_011238380.1,Gmps,521
NP_776101.3,Maoa,522
NP_796141.2,Ppm1e,523
NP_038522.2,Cpe,524
NP_666319.2; NP_001103612.1,Cul4a,525
XP_006522097.1,NA,526
NP_001153871.1,Ccdc112,527
NP_808383.3,Kctd12,528
NP_033403.1,Th,529
NP_032328.2; NP_035761.1,Hsp90ab1,530
NP_034725.3,Kcna1,531
NP_062722.1,Sae1,532
XP_017172285.1,NA,533
XP_006508100.1; XP_011238598.1,Trim2,534
NP_001078909.1,Smcr8,535
NP_081271.2,Naxd,536
NP_080543.2,Necap1,537
NP_032324.1,Dnaja1,538
NP_001104485.1; XP_006513761.1; NP_038708.3,Syn2,539
NP_080628.1,Ppid,540
XP_006524170.1,NA,541
NP_061269.1,Eif3i,542
XP_006500208.1,Lnpk,543
XP_006514078.1; XP_011239469.1; XP_011239463.1,Atp2b2,544
NP_001104749.1,Wdfy1,545
NP_081502.2,Fyttd1,546
NP_075768.1,Tubb3,547
NP_780698.2,Osbpl8,548
XP_006514078.1; XP_011239469.1; XP_011239463.1; XP_006528144.1,Atp2b2,549
XP_017173425.1,NA,550
NP_941001.2,Map6d1,551
NP_033807.2,Ap1g1,552
NP_036123.3,Dpysl4,553
NP_032876.1,Pitpna,554
NP_033989.2; XP_006532556.1,Septin7,555
NP_780663.1,Hid1,556
XP_006495613.1,Xkr4,557
NP_034617.1,Elavl3,558
NP_031441.2,Parp1,559
XP_017168067.1,Cacna1e,560
XP_017174914.1,NA,561
XP_006527732.1,Gripap1,562
NP_036009.1,Ik,563
NP_001258467.1,Myh14,564
NP_033476.1; NP_033477.2; NP_075768.1; NP_035785.1; NP_666228.1; NP_076205.1,Tubb2a,565
NP_001278000.1,Pfkp,566
NP_038703.3,Sptb,567
NP_071287.1,Fxyd6,568
XP_017170266.1,Btbd17,569
XP_006523815.1,Afdn,570
NP_001091640.1,Pcdh10,571
NP_035790.1,Txn1,572
NP_031402.3,Pzp,573
NP_033023.1,Rab11b,574
XP_006510130.1,Ncam1,575
NP_064418.1,H1f5,576
NP_835585.3; NP_783592.1; NP_034566.1,H2ac21,577
NP_032973.1,Psmc1,578
XP_006497754.1,Fnbp1,579
NP_031535.2,Atp6v1b2,580
NP_001303639.1,Gprin1,581
NP_032644.3,Mdh1,582
NP_001004144.1,Git1,583
XP_006523666.1,NA,584
NP_001129530.1; NP_001278384.1; NP_031791.3; XP_006518571.1,Crmp1,585
NP_034275.1,Ephx1,586
XP_006526515.1,Mbp,587
NP_001300646.1,Hnrnph2,588
NP_075605.1,Cacnb2,589
NP_058033.2,Lxn,590
XP_006501639.1,NA,591
XP_006496069.1,Inpp4a,592
XP_006527267.1,Syt7,593
NP_071705.3; NP_112442.2; NP_034608.2,Hspa5,594
NP_598694.3,Rpn1,595
XP_006514513.1,NA,596
XP_006528997.1,Huwe1,597
XP_006520120.1,Zfr,598
XP_006530984.1,NA,599
NP_659149.1; NP_848492.1,Atp1a1,600
NP_038663.2,Sypl,601
XP_006515402.1,Vipas39,602
NP_081651.2,Gcc2,603
XP_006501582.1,Nbea,604
NP_035232.1; NP_035231.2,Prkcg,605
XP_006514662.1,Sptbn1,606
XP_011239469.1,Atp2b2,607
XP_006511785.1,Camkv,608
XP_006511412.1,Sltm,609
NP_033476.1; NP_035785.1; NP_666228.1; NP_076205.1,Tubb2a,610
NP_035020.2,Nedd4,611
XP_006526702.1,Ddb1,612
NP_031713.1,Cfl1,613
NP_937893.1,Lrrc4b,614
XP_011243797.1; NP_035995.1,Pcbp2,615
XP_011240077.1,Atxn2l,616
NP_079958.3; NP_075633.2,Pspc1,617
NP_001070982.1,Slc1a2,618
XP_017171415.1,Ptk2b,619
XP_006514662.1; XP_006540499.1; XP_006531767.1; NP_038703.3,Sptbn1,620
NP_035234.1,Prkce,621
XP_006516968.1,Phactr1,622
XP_006535713.1,Slc4a2,623
NP_001170795.1; XP_011247832.1,Septin6,624
NP_035869.1; XP_006499972.1; XP_011243654.1,Ywhaq,625
NP_001104784.1,Ngef,626
NP_062745.1,Dstn,627
XP_006530193.1,Cit,628
XP_011238748.1,NA,629
XP_006540234.1,Myadm,630
XP_006497712.2; XP_006497714.2; NP_001033708.1,Dnm1,631
NP_038961.2,Vapa,632
NP_766478.1; XP_006505934.1,Slc6a11,633
XP_011238225.1,Dnajc5,634
NP_001074524.1,Trappc10,635
NP_573448.2,Rogdi,636
NP_659077.1,Ppp1r1b,637
XP_006535535.1,Slc7a14,638
XP_006513953.1,NA,639
NP_001093101.1,Sh2d5,640
XP_006531583.1,Pard3,641
XP_006511166.1,Herc1,642
NP_001074725.1,Kdm3b,643
NP_031620.1,Calu,644
NP_064393.2,Mtor,645
NP_666148.1,Ahsa1,646
NP_032970.2,Psma2,647
XP_017177814.1,Brsk1,648
XP_006496138.1,Abi2,649
XP_017177467.1,Gabrg3,650
XP_011242843.1,NA,651
NP_082988.1; NP_083795.2,Rap2b,652
NP_001177715.1,Ddx19b,653
XP_017172014.1,NA,654
NP_032162.2,Gnl1,655
NP_001020327.1,Ccdc93,656
NP_001009930.1,Brsk2,657
NP_062530.2,Becn1,658
NP_034401.1,Gpd1,659
XP_006501469.1,Slc6a17,660
NP_766601.2,Map1s,661
XP_006510125.1; XP_006510130.1,Ncam1,662
NP_061264.1,Atp6ap1,663
XP_006524303.1; NP_001107596.1,Syngap1,664
XP_006521832.1,Dlg1,665
XP_006518557.1,Camk2g,666
NP_062318.2,Fmn2,667
NP_035956.1,Hax1,668
NP_705813.2,Cnot10,669
NP_001158055.1; NP_705797.1,Dnajc6,670
XP_006513900.1; XP_006533939.1; NP_001300646.1,Hnrnph3,671
XP_006526383.1,Pcdh1,672
NP_033017.2,Abcd3,673
NP_663600.2,Eif4b,674
NP_058081.2,Stx1a,675
NP_034851.2,Lmnb1,676
NP_083949.2,Immt,677
NP_062606.1,Napb,678
XP_006518515.1,Anxa7,679
XP_006533719.1,Specc1,680
NP_035651.1,Sdc4,681
NP_080650.1,Ilf2,682
NP_034403.1,Gdi1,683
NP_036116.3,Ncdn,684
NP_001070734.1; XP_011247812.1,Hnrnpd,685
NP_038959.2,Mapk8ip3,686
NP_001171266.1; NP_001155294.1,Rgs20,687
NP_001013398.2,Dync1li2,688
NP_075907.2,Pgam1,689
XP_006518557.1; XP_006514527.1; XP_017169728.1,Camk2g,690
XP_006502128.1,NA,691
NP_032985.2,Ptdss1,692
XP_006508100.1,NA,693
NP_001074743.1,Pgd,694
NP_067621.3,Dctn5,695
NP_001157226.1,Rab3gap2,696
NP_778163.1,Hpcal4,697
XP_017175535.1,NA,698
XP_011249113.1,Otud7a,699
NP_077157.2,Cyb5r4,700
XP_006508810.1,NA,701
XP_006530932.1,NA,702
XP_011237447.1,NA,703
XP_006535203.1,Uso1,704
NP_035642.1,Surf4,705
XP_006504616.1,Gnb2,706
XP_006528905.1,Iqsec2,707
NP_683740.1,Slc1a3,708
XP_006535770.1,NA,709
XP_006535674.1,Prkag2,710
NP_001014981.1,Wdr7,711
NP_058548.1,Wbp2,712
NP_001153825.1,Grm2,713
NP_034937.1,Marcksl1,714
NP_001177383.1,Dctn2,715
NP_032045.1,Fkbp1a,716
NP_001139529.1,NA,717
NP_848887.1,Nceh1,718
XP_011239086.1,Jakmip1,719
XP_017170671.1,NA,720
NP_932773.2,Fam120c,721
NP_032405.3,Kpnb1,722
XP_011247046.1,Hap1,723
XP_006511697.1; XP_006503645.2,Bsn,724
XP_006521316.2,NA,725
NP_001296945.1,Gm45927,726
XP_006497785.1,NA,727
XP_006496354.2,Cracdl,728
XP_006504497.1,Vgf,729
XP_017173099.1,NA,730
XP_006530470.1,Clip1,731
NP_033476.1; NP_075768.1; NP_035785.1; NP_666228.1; NP_076205.1; NP_080749.2,Tubb2a,732
NP_001182703.1,Gprc5b,733
XP_006526667.1,Atl3,734
NP_001093586.1,Fam177a2,735
XP_006530293.1,Camkk2,736
XP_006530650.1,Cacna1a,737
NP_080581.1,Elob,738
XP_017170908.1,NA,739
NP_001093579.1,Srp54b,740
NP_659140.2,Gdap1l1,741
NP_033315.2,Slk,742
NP_598555.2,Qars,743
XP_006500031.1,Nup160,744
NP_001129530.1; NP_001278384.1; NP_031791.3,Crmp1,745
NP_034967.2; NP_001036820.2,Map6,746
NP_958741.1,Slc6a7,747
NP_573453.2,Cacng8,748
XP_011247990.1,Pex5l,749
NP_036145.1,Macroh2a1,750
XP_006512863.1,NA,751
XP_006532016.1,Acaca,752
XP_011237041.1,Astn1,753
XP_017171858.1,NA,754
XP_011244355.1,Pdxdc1,755
NP_001185806.1,Dync1i2,756
XP_011241696.1,Scyl2,757
NP_081686.1,Tecpr1,758
NP_001230052.1,Fam193a,759
XP_006514083.1,NA,760
NP_001334441.1,Cltb,761
NP_835220.1,Agap1,762
XP_006540862.1,Ube3a,763
XP_006538877.1,Fbxo2,764
XP_006523574.1,Mta3,765
NP_083174.2,Rptor,766
XP_006501565.1,NA,767
XP_006508937.1,NA,768
NP_058562.1,Stk39,769
NP_796278.1,Enpp6,770
NP_033476.1; NP_035785.1; NP_666228.1; NP_076205.1; NP_080749.2,Tubb2a,771
NP_032856.2,Abcb4,772
XP_006524886.1,Ergic1,773
NP_065594.2,Park7,774
NP_001028805.2,Slc2a13,775
XP_011243865.1,NA,776
XP_017175008.1,Dock10,777
XP_017174511.1,NA,778
NP_766057.1,Clic6,779
XP_006521609.1,Recql4,780
XP_006529893.1,NA,781
XP_006514662.1; XP_006531767.1; NP_038703.3,Sptbn1,782
